image_path,question,expected_module,expected_output,notes
data/image1.jpg,What does the sign say?,ocr,STOP,Text recognition test
data/image2.jpg,What does the text say?,ocr,SHORT Funny HAPPY BIRTHDAY WISHES ROUTINELYSHARES.COM,Text recognition test
data/image3.jpg,What does the text say?,ocr,CAUTION VERY TALKATIVE,Text recognition test
data/image4.jpg,What does the text say?,ocr,Best. Summer. Ever.,Text recognition test
data/image5.jpg,What is the car color?,vqa,red,Color identification test
data/image6.jpg, What is the image?, vqa, Niagara Falls, Image description test
data/image1.jpg, What is the sign color?, vqa, red, Color identification test
data/image2.jpg, What is the background color?, vqa, golden, Color identification test
data/image7.jpg, What is the image?, vqa, There is a motocycle, Image description test
data/image7.jpg, What does the text say?, ocr, GUIDE ULTIME 2024, Text recognition test
